;Case ID;Activity;Resource;Variant index;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
123;Application_1878239836;4;User_1;9;New credit;Home improvement;15000.0;A_Denied
124;Application_1878239836;8;User_1;9;New credit;Home improvement;15000.0;A_Denied
125;Application_1878239836;3;User_1;9;New credit;Home improvement;15000.0;A_Denied
126;Application_1878239836;20;User_3;9;New credit;Home improvement;15000.0;A_Denied
127;Application_1878239836;0;User_3;9;New credit;Home improvement;15000.0;A_Denied
128;Application_1878239836;12;User_3;9;New credit;Home improvement;15000.0;A_Denied
129;Application_1878239836;13;User_3;9;New credit;Home improvement;15000.0;A_Denied
130;Application_1878239836;15;User_3;9;New credit;Home improvement;15000.0;A_Denied
131;Application_1878239836;18;User_3;9;New credit;Home improvement;15000.0;A_Denied
132;Application_1878239836;2;User_3;9;New credit;Home improvement;15000.0;A_Denied
133;Application_1878239836;24;User_99;9;New credit;Home improvement;15000.0;A_Denied
134;Application_1878239836;9;User_113;9;New credit;Home improvement;15000.0;A_Denied
135;Application_1878239836;14;User_113;9;New credit;Home improvement;15000.0;A_Denied
136;Application_1878239836;5;User_99;9;New credit;Home improvement;15000.0;A_Denied
264;Application_1806387393;4;User_1;628;New credit;Car;5000.0;A_Denied
265;Application_1806387393;8;User_1;628;New credit;Car;5000.0;A_Denied
266;Application_1806387393;21;User_17;628;New credit;Car;5000.0;A_Denied
267;Application_1806387393;20;User_38;628;New credit;Car;5000.0;A_Denied
268;Application_1806387393;3;User_17;628;New credit;Car;5000.0;A_Denied
269;Application_1806387393;20;User_38;628;New credit;Car;5000.0;A_Denied
270;Application_1806387393;0;User_38;628;New credit;Car;5000.0;A_Denied
271;Application_1806387393;12;User_38;628;New credit;Car;5000.0;A_Denied
272;Application_1806387393;13;User_38;628;New credit;Car;5000.0;A_Denied
273;Application_1806387393;15;User_38;628;New credit;Car;5000.0;A_Denied
274;Application_1806387393;18;User_38;628;New credit;Car;5000.0;A_Denied
275;Application_1806387393;2;User_38;628;New credit;Car;5000.0;A_Denied
276;Application_1806387393;24;User_95;628;New credit;Car;5000.0;A_Denied
277;Application_1806387393;9;User_117;628;New credit;Car;5000.0;A_Denied
278;Application_1806387393;14;User_117;628;New credit;Car;5000.0;A_Denied
279;Application_1806387393;5;User_95;628;New credit;Car;5000.0;A_Denied
1337;Application_1624825294;4;User_1;63;New credit;Car;5000.0;A_Cancelled
1338;Application_1624825294;8;User_1;63;New credit;Car;5000.0;A_Cancelled
1339;Application_1624825294;21;User_14;63;New credit;Car;5000.0;A_Cancelled
1340;Application_1624825294;20;User_14;63;New credit;Car;5000.0;A_Cancelled
1341;Application_1624825294;3;User_14;63;New credit;Car;5000.0;A_Cancelled
1342;Application_1624825294;0;User_11;63;New credit;Car;5000.0;A_Cancelled
1343;Application_1624825294;12;User_11;63;New credit;Car;5000.0;A_Cancelled
1344;Application_1624825294;13;User_11;63;New credit;Car;5000.0;A_Cancelled
1345;Application_1624825294;15;User_11;63;New credit;Car;5000.0;A_Cancelled
1346;Application_1624825294;18;User_11;63;New credit;Car;5000.0;A_Cancelled
1347;Application_1624825294;2;User_11;63;New credit;Car;5000.0;A_Cancelled
1348;Application_1624825294;24;User_99;63;New credit;Car;5000.0;A_Cancelled
1349;Application_1624825294;9;User_113;63;New credit;Car;5000.0;A_Cancelled
1350;Application_1624825294;14;User_113;63;New credit;Car;5000.0;A_Cancelled
1351;Application_1624825294;19;User_2;63;New credit;Car;5000.0;A_Cancelled
1352;Application_1624825294;6;User_99;63;New credit;Car;5000.0;A_Cancelled
1353;Application_1624825294;1;User_2;63;New credit;Car;5000.0;A_Cancelled
1380;Application_987262285;4;User_1;18;New credit;Car;6000.0;A_Denied
1381;Application_987262285;8;User_1;18;New credit;Car;6000.0;A_Denied
1382;Application_987262285;21;User_14;18;New credit;Car;6000.0;A_Denied
1383;Application_987262285;20;User_14;18;New credit;Car;6000.0;A_Denied
1384;Application_987262285;3;User_14;18;New credit;Car;6000.0;A_Denied
1385;Application_987262285;0;User_22;18;New credit;Car;6000.0;A_Denied
1386;Application_987262285;12;User_22;18;New credit;Car;6000.0;A_Denied
1387;Application_987262285;13;User_22;18;New credit;Car;6000.0;A_Denied
1388;Application_987262285;15;User_22;18;New credit;Car;6000.0;A_Denied
1389;Application_987262285;18;User_22;18;New credit;Car;6000.0;A_Denied
1390;Application_987262285;2;User_22;18;New credit;Car;6000.0;A_Denied
1391;Application_987262285;24;User_68;18;New credit;Car;6000.0;A_Denied
1392;Application_987262285;9;User_116;18;New credit;Car;6000.0;A_Denied
1393;Application_987262285;14;User_116;18;New credit;Car;6000.0;A_Denied
1394;Application_987262285;5;User_68;18;New credit;Car;6000.0;A_Denied
2072;Application_914660918;4;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2073;Application_914660918;3;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2074;Application_914660918;20;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2075;Application_914660918;0;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2076;Application_914660918;12;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2077;Application_914660918;13;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2078;Application_914660918;15;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2079;Application_914660918;18;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2080;Application_914660918;2;User_16;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2081;Application_914660918;24;User_118;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2082;Application_914660918;9;User_118;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2083;Application_914660918;14;User_118;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2084;Application_914660918;5;User_75;42;Limit raise;Caravan / Camper;25000.0;A_Denied
2085;Application_167944225;4;User_1;9;New credit;Existing loan takeover;8000.0;A_Denied
2086;Application_167944225;8;User_1;9;New credit;Existing loan takeover;8000.0;A_Denied
2087;Application_167944225;3;User_1;9;New credit;Existing loan takeover;8000.0;A_Denied
2088;Application_167944225;20;User_16;9;New credit;Existing loan takeover;8000.0;A_Denied
2089;Application_167944225;0;User_10;9;New credit;Existing loan takeover;8000.0;A_Denied
2090;Application_167944225;12;User_10;9;New credit;Existing loan takeover;8000.0;A_Denied
2091;Application_167944225;13;User_10;9;New credit;Existing loan takeover;8000.0;A_Denied
2092;Application_167944225;15;User_10;9;New credit;Existing loan takeover;8000.0;A_Denied
2093;Application_167944225;18;User_10;9;New credit;Existing loan takeover;8000.0;A_Denied
2094;Application_167944225;2;User_10;9;New credit;Existing loan takeover;8000.0;A_Denied
2095;Application_167944225;24;User_112;9;New credit;Existing loan takeover;8000.0;A_Denied
2096;Application_167944225;9;User_112;9;New credit;Existing loan takeover;8000.0;A_Denied
2097;Application_167944225;14;User_112;9;New credit;Existing loan takeover;8000.0;A_Denied
2098;Application_167944225;5;User_99;9;New credit;Existing loan takeover;8000.0;A_Denied
2233;Application_927205634;4;User_75;62;New credit;Unknown;0.0;A_Cancelled
2234;Application_927205634;20;User_75;62;New credit;Unknown;0.0;A_Cancelled
2235;Application_927205634;3;User_75;62;New credit;Unknown;0.0;A_Cancelled
2236;Application_927205634;0;User_75;62;New credit;Unknown;0.0;A_Cancelled
2237;Application_927205634;12;User_75;62;New credit;Unknown;0.0;A_Cancelled
2238;Application_927205634;13;User_75;62;New credit;Unknown;0.0;A_Cancelled
2239;Application_927205634;15;User_75;62;New credit;Unknown;0.0;A_Cancelled
2240;Application_927205634;18;User_75;62;New credit;Unknown;0.0;A_Cancelled
2241;Application_927205634;2;User_75;62;New credit;Unknown;0.0;A_Cancelled
2242;Application_927205634;24;User_75;62;New credit;Unknown;0.0;A_Cancelled
2243;Application_927205634;9;User_75;62;New credit;Unknown;0.0;A_Cancelled
2244;Application_927205634;14;User_75;62;New credit;Unknown;0.0;A_Cancelled
2245;Application_927205634;19;User_2;62;New credit;Unknown;0.0;A_Cancelled
2246;Application_927205634;6;User_75;62;New credit;Unknown;0.0;A_Cancelled
2247;Application_927205634;1;User_2;62;New credit;Unknown;0.0;A_Cancelled
3545;Application_1141114991;4;User_43;20;New credit;Other, see explanation;15000.0;A_Denied
3546;Application_1141114991;20;User_43;20;New credit;Other, see explanation;15000.0;A_Denied
3547;Application_1141114991;3;User_43;20;New credit;Other, see explanation;15000.0;A_Denied
3548;Application_1141114991;0;User_43;20;New credit;Other, see explanation;15000.0;A_Denied
3549;Application_1141114991;12;User_43;20;New credit;Other, see explanation;15000.0;A_Denied
3550;Application_1141114991;13;User_43;20;New credit;Other, see explanation;15000.0;A_Denied
3551;Application_1141114991;15;User_43;20;New credit;Other, see explanation;15000.0;A_Denied
3552;Application_1141114991;18;User_43;20;New credit;Other, see explanation;15000.0;A_Denied
3553;Application_1141114991;2;User_43;20;New credit;Other, see explanation;15000.0;A_Denied
3554;Application_1141114991;24;User_95;20;New credit;Other, see explanation;15000.0;A_Denied
3555;Application_1141114991;9;User_114;20;New credit;Other, see explanation;15000.0;A_Denied
3556;Application_1141114991;14;User_95;20;New credit;Other, see explanation;15000.0;A_Denied
3557;Application_1141114991;5;User_95;20;New credit;Other, see explanation;15000.0;A_Denied
3805;Application_19324985;4;User_1;7;New credit;Car;8000.0;A_Cancelled
3806;Application_19324985;8;User_1;7;New credit;Car;8000.0;A_Cancelled
3807;Application_19324985;21;User_5;7;New credit;Car;8000.0;A_Cancelled
3808;Application_19324985;20;User_5;7;New credit;Car;8000.0;A_Cancelled
3809;Application_19324985;3;User_5;7;New credit;Car;8000.0;A_Cancelled
3810;Application_19324985;0;User_28;7;New credit;Car;8000.0;A_Cancelled
3811;Application_19324985;12;User_28;7;New credit;Car;8000.0;A_Cancelled
3812;Application_19324985;13;User_28;7;New credit;Car;8000.0;A_Cancelled
3813;Application_19324985;15;User_28;7;New credit;Car;8000.0;A_Cancelled
3814;Application_19324985;18;User_28;7;New credit;Car;8000.0;A_Cancelled
3815;Application_19324985;2;User_28;7;New credit;Car;8000.0;A_Cancelled
3816;Application_19324985;1;User_10;7;New credit;Car;8000.0;A_Cancelled
4017;Application_153538723;4;User_1;30;New credit;Existing loan takeover;5000.0;A_Cancelled
4018;Application_153538723;8;User_1;30;New credit;Existing loan takeover;5000.0;A_Cancelled
4019;Application_153538723;3;User_1;30;New credit;Existing loan takeover;5000.0;A_Cancelled
4020;Application_153538723;20;User_71;30;New credit;Existing loan takeover;5000.0;A_Cancelled
4021;Application_153538723;0;User_5;30;New credit;Existing loan takeover;5000.0;A_Cancelled
4022;Application_153538723;12;User_5;30;New credit;Existing loan takeover;5000.0;A_Cancelled
4023;Application_153538723;13;User_5;30;New credit;Existing loan takeover;5000.0;A_Cancelled
4024;Application_153538723;15;User_5;30;New credit;Existing loan takeover;5000.0;A_Cancelled
4025;Application_153538723;18;User_5;30;New credit;Existing loan takeover;5000.0;A_Cancelled
4026;Application_153538723;2;User_5;30;New credit;Existing loan takeover;5000.0;A_Cancelled
4027;Application_153538723;24;User_112;30;New credit;Existing loan takeover;5000.0;A_Cancelled
4028;Application_153538723;9;User_112;30;New credit;Existing loan takeover;5000.0;A_Cancelled
4029;Application_153538723;14;User_112;30;New credit;Existing loan takeover;5000.0;A_Cancelled
4030;Application_153538723;19;User_2;30;New credit;Existing loan takeover;5000.0;A_Cancelled
4031;Application_153538723;6;User_115;30;New credit;Existing loan takeover;5000.0;A_Cancelled
4032;Application_153538723;1;User_2;30;New credit;Existing loan takeover;5000.0;A_Cancelled
4383;Application_1101248362;4;User_1;30;New credit;Existing loan takeover;7800.0;A_Cancelled
4384;Application_1101248362;8;User_1;30;New credit;Existing loan takeover;7800.0;A_Cancelled
4385;Application_1101248362;3;User_1;30;New credit;Existing loan takeover;7800.0;A_Cancelled
4386;Application_1101248362;20;User_15;30;New credit;Existing loan takeover;7800.0;A_Cancelled
4387;Application_1101248362;0;User_11;30;New credit;Existing loan takeover;7800.0;A_Cancelled
4388;Application_1101248362;12;User_11;30;New credit;Existing loan takeover;7800.0;A_Cancelled
4389;Application_1101248362;13;User_11;30;New credit;Existing loan takeover;7800.0;A_Cancelled
4390;Application_1101248362;15;User_11;30;New credit;Existing loan takeover;7800.0;A_Cancelled
4391;Application_1101248362;18;User_11;30;New credit;Existing loan takeover;7800.0;A_Cancelled
4392;Application_1101248362;2;User_11;30;New credit;Existing loan takeover;7800.0;A_Cancelled
4393;Application_1101248362;24;User_75;30;New credit;Existing loan takeover;7800.0;A_Cancelled
4394;Application_1101248362;9;User_119;30;New credit;Existing loan takeover;7800.0;A_Cancelled
4395;Application_1101248362;14;User_119;30;New credit;Existing loan takeover;7800.0;A_Cancelled
4396;Application_1101248362;19;User_34;30;New credit;Existing loan takeover;7800.0;A_Cancelled
4397;Application_1101248362;6;User_75;30;New credit;Existing loan takeover;7800.0;A_Cancelled
4398;Application_1101248362;1;User_34;30;New credit;Existing loan takeover;7800.0;A_Cancelled
4794;Application_1911804233;4;User_1;7;New credit;Other, see explanation;20000.0;A_Cancelled
4795;Application_1911804233;8;User_1;7;New credit;Other, see explanation;20000.0;A_Cancelled
4796;Application_1911804233;21;User_3;7;New credit;Other, see explanation;20000.0;A_Cancelled
4797;Application_1911804233;20;User_3;7;New credit;Other, see explanation;20000.0;A_Cancelled
4798;Application_1911804233;3;User_3;7;New credit;Other, see explanation;20000.0;A_Cancelled
4799;Application_1911804233;0;User_31;7;New credit;Other, see explanation;20000.0;A_Cancelled
4800;Application_1911804233;12;User_31;7;New credit;Other, see explanation;20000.0;A_Cancelled
4801;Application_1911804233;13;User_31;7;New credit;Other, see explanation;20000.0;A_Cancelled
4802;Application_1911804233;15;User_31;7;New credit;Other, see explanation;20000.0;A_Cancelled
4803;Application_1911804233;18;User_31;7;New credit;Other, see explanation;20000.0;A_Cancelled
4804;Application_1911804233;2;User_31;7;New credit;Other, see explanation;20000.0;A_Cancelled
4805;Application_1911804233;1;User_1;7;New credit;Other, see explanation;20000.0;A_Cancelled
5018;Application_125495187;4;User_1;18;New credit;Existing loan takeover;5000.0;A_Denied
5019;Application_125495187;8;User_1;18;New credit;Existing loan takeover;5000.0;A_Denied
5020;Application_125495187;21;User_4;18;New credit;Existing loan takeover;5000.0;A_Denied
5021;Application_125495187;20;User_21;18;New credit;Existing loan takeover;5000.0;A_Denied
5022;Application_125495187;3;User_4;18;New credit;Existing loan takeover;5000.0;A_Denied
