i;Case ID;Activity;Resource;Variant index;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
354;Application_319587802;4;User_1;313;New credit;Car;7000.0;A_Denied
355;Application_319587802;8;User_1;313;New credit;Car;7000.0;A_Denied
356;Application_319587802;21;User_17;313;New credit;Car;7000.0;A_Denied
357;Application_319587802;20;User_108;313;New credit;Car;7000.0;A_Denied
358;Application_319587802;3;User_17;313;New credit;Car;7000.0;A_Denied
359;Application_319587802;0;User_108;313;New credit;Car;7000.0;A_Denied
360;Application_319587802;12;User_108;313;New credit;Car;7000.0;A_Denied
361;Application_319587802;13;User_108;313;New credit;Car;7000.0;A_Denied
362;Application_319587802;12;User_108;313;New credit;Car;7000.0;A_Denied
363;Application_319587802;13;User_108;313;New credit;Car;7000.0;A_Denied
364;Application_319587802;15;User_108;313;New credit;Car;7000.0;A_Denied
365;Application_319587802;15;User_108;313;New credit;Car;7000.0;A_Denied
366;Application_319587802;18;User_108;313;New credit;Car;7000.0;A_Denied
367;Application_319587802;2;User_108;313;New credit;Car;7000.0;A_Denied
368;Application_319587802;12;User_10;313;New credit;Car;7000.0;A_Denied
369;Application_319587802;13;User_10;313;New credit;Car;7000.0;A_Denied
370;Application_319587802;15;User_10;313;New credit;Car;7000.0;A_Denied
371;Application_319587802;24;User_29;313;New credit;Car;7000.0;A_Denied
372;Application_319587802;9;User_113;313;New credit;Car;7000.0;A_Denied
373;Application_319587802;14;User_113;313;New credit;Car;7000.0;A_Denied
374;Application_319587802;5;User_29;313;New credit;Car;7000.0;A_Denied
11128;Application_2142068408;4;User_1;1174;New credit;Car;12500.0;A_Cancelled
11129;Application_2142068408;8;User_1;1174;New credit;Car;12500.0;A_Cancelled
11130;Application_2142068408;3;User_1;1174;New credit;Car;12500.0;A_Cancelled
11131;Application_2142068408;20;User_15;1174;New credit;Car;12500.0;A_Cancelled
11132;Application_2142068408;0;User_10;1174;New credit;Car;12500.0;A_Cancelled
11133;Application_2142068408;12;User_10;1174;New credit;Car;12500.0;A_Cancelled
11134;Application_2142068408;13;User_10;1174;New credit;Car;12500.0;A_Cancelled
11135;Application_2142068408;15;User_10;1174;New credit;Car;12500.0;A_Cancelled
11136;Application_2142068408;18;User_10;1174;New credit;Car;12500.0;A_Cancelled
11137;Application_2142068408;2;User_10;1174;New credit;Car;12500.0;A_Cancelled
11138;Application_2142068408;12;User_10;1174;New credit;Car;12500.0;A_Cancelled
11139;Application_2142068408;13;User_10;1174;New credit;Car;12500.0;A_Cancelled
11140;Application_2142068408;15;User_10;1174;New credit;Car;12500.0;A_Cancelled
11141;Application_2142068408;24;User_68;1174;New credit;Car;12500.0;A_Cancelled
11142;Application_2142068408;9;User_116;1174;New credit;Car;12500.0;A_Cancelled
