index;Case ID;Activity;Resource;Variant index;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
354;Application_319587802;4;User_1;313;New credit;Car;7000.0;A_Denied
355;Application_319587802;8;User_1;313;New credit;Car;7000.0;A_Denied
356;Application_319587802;21;User_17;313;New credit;Car;7000.0;A_Denied
357;Application_319587802;20;User_108;313;New credit;Car;7000.0;A_Denied
358;Application_319587802;3;User_17;313;New credit;Car;7000.0;A_Denied
359;Application_319587802;0;User_108;313;New credit;Car;7000.0;A_Denied
360;Application_319587802;12;User_108;313;New credit;Car;7000.0;A_Denied
361;Application_319587802;13;User_108;313;New credit;Car;7000.0;A_Denied
362;Application_319587802;12;User_108;313;New credit;Car;7000.0;A_Denied
363;Application_319587802;13;User_108;313;New credit;Car;7000.0;A_Denied
364;Application_319587802;15;User_108;313;New credit;Car;7000.0;A_Denied
365;Application_319587802;15;User_108;313;New credit;Car;7000.0;A_Denied
366;Application_319587802;18;User_108;313;New credit;Car;7000.0;A_Denied
367;Application_319587802;2;User_108;313;New credit;Car;7000.0;A_Denied
368;Application_319587802;12;User_10;313;New credit;Car;7000.0;A_Denied
369;Application_319587802;13;User_10;313;New credit;Car;7000.0;A_Denied
370;Application_319587802;15;User_10;313;New credit;Car;7000.0;A_Denied
371;Application_319587802;24;User_29;313;New credit;Car;7000.0;A_Denied
372;Application_319587802;9;User_113;313;New credit;Car;7000.0;A_Denied
373;Application_319587802;14;User_113;313;New credit;Car;7000.0;A_Denied
374;Application_319587802;5;User_29;313;New credit;Car;7000.0;A_Denied
1700;Application_1876456626;4;User_1;605;New credit;Car;10750.0;A_Pending
1701;Application_1876456626;8;User_1;605;New credit;Car;10750.0;A_Pending
1702;Application_1876456626;21;User_14;605;New credit;Car;10750.0;A_Pending
1703;Application_1876456626;20;User_14;605;New credit;Car;10750.0;A_Pending
1704;Application_1876456626;3;User_14;605;New credit;Car;10750.0;A_Pending
1705;Application_1876456626;0;User_74;605;New credit;Car;10750.0;A_Pending
1706;Application_1876456626;12;User_74;605;New credit;Car;10750.0;A_Pending
1707;Application_1876456626;13;User_74;605;New credit;Car;10750.0;A_Pending
1708;Application_1876456626;15;User_74;605;New credit;Car;10750.0;A_Pending
1709;Application_1876456626;18;User_74;605;New credit;Car;10750.0;A_Pending
1710;Application_1876456626;2;User_74;605;New credit;Car;10750.0;A_Pending
1711;Application_1876456626;12;User_4;605;New credit;Car;10750.0;A_Pending
1712;Application_1876456626;13;User_4;605;New credit;Car;10750.0;A_Pending
1713;Application_1876456626;15;User_4;605;New credit;Car;10750.0;A_Pending
1714;Application_1876456626;24;User_95;605;New credit;Car;10750.0;A_Pending
1715;Application_1876456626;9;User_112;605;New credit;Car;10750.0;A_Pending
