index;Case ID;Activity;Resource;Variant index;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
1298;Application_505474597;4;User_1;558;New credit;Car;6750.0;A_Pending
1299;Application_505474597;8;User_1;558;New credit;Car;6750.0;A_Pending
1300;Application_505474597;3;User_1;558;New credit;Car;6750.0;A_Pending
1301;Application_505474597;20;User_38;558;New credit;Car;6750.0;A_Pending
1302;Application_505474597;0;User_16;558;New credit;Car;6750.0;A_Pending
1303;Application_505474597;12;User_16;558;New credit;Car;6750.0;A_Pending
1304;Application_505474597;13;User_16;558;New credit;Car;6750.0;A_Pending
1305;Application_505474597;15;User_16;558;New credit;Car;6750.0;A_Pending
1306;Application_505474597;18;User_16;558;New credit;Car;6750.0;A_Pending
1307;Application_505474597;2;User_16;558;New credit;Car;6750.0;A_Pending
1308;Application_505474597;12;User_85;558;New credit;Car;6750.0;A_Pending
1309;Application_505474597;13;User_85;558;New credit;Car;6750.0;A_Pending
1310;Application_505474597;16;User_85;558;New credit;Car;6750.0;A_Pending
1311;Application_505474597;12;User_4;558;New credit;Car;6750.0;A_Pending
1312;Application_505474597;13;User_4;558;New credit;Car;6750.0;A_Pending
1313;Application_505474597;15;User_4;558;New credit;Car;6750.0;A_Pending
1314;Application_505474597;24;User_127;558;New credit;Car;6750.0;A_Pending
1315;Application_505474597;9;User_127;558;New credit;Car;6750.0;A_Pending
1316;Application_505474597;14;User_127;558;New credit;Car;6750.0;A_Pending
1317;Application_505474597;10;User_115;558;New credit;Car;6750.0;A_Pending
1318;Application_505474597;7;User_115;558;New credit;Car;6750.0;A_Pending
1778;Application_268676496;4;User_1;1132;New credit;Car;5500.0;A_Pending
1779;Application_268676496;8;User_1;1132;New credit;Car;5500.0;A_Pending
1780;Application_268676496;3;User_1;1132;New credit;Car;5500.0;A_Pending
1781;Application_268676496;20;User_15;1132;New credit;Car;5500.0;A_Pending
1782;Application_268676496;0;User_15;1132;New credit;Car;5500.0;A_Pending
1783;Application_268676496;12;User_15;1132;New credit;Car;5500.0;A_Pending
1784;Application_268676496;13;User_15;1132;New credit;Car;5500.0;A_Pending
1785;Application_268676496;15;User_15;1132;New credit;Car;5500.0;A_Pending
1786;Application_268676496;18;User_15;1132;New credit;Car;5500.0;A_Pending
1787;Application_268676496;2;User_15;1132;New credit;Car;5500.0;A_Pending
1788;Application_268676496;12;User_4;1132;New credit;Car;5500.0;A_Pending
1789;Application_268676496;13;User_4;1132;New credit;Car;5500.0;A_Pending
1790;Application_268676496;15;User_4;1132;New credit;Car;5500.0;A_Pending
1791;Application_268676496;12;User_4;1132;New credit;Car;5500.0;A_Pending
1792;Application_268676496;13;User_4;1132;New credit;Car;5500.0;A_Pending
1793;Application_268676496;16;User_4;1132;New credit;Car;5500.0;A_Pending
1794;Application_268676496;12;User_7;1132;New credit;Car;5500.0;A_Pending
1795;Application_268676496;13;User_7;1132;New credit;Car;5500.0;A_Pending
1796;Application_268676496;15;User_7;1132;New credit;Car;5500.0;A_Pending
1797;Application_268676496;24;User_116;1132;New credit;Car;5500.0;A_Pending
1798;Application_268676496;9;User_116;1132;New credit;Car;5500.0;A_Pending
1799;Application_268676496;14;User_116;1132;New credit;Car;5500.0;A_Pending
1800;Application_268676496;19;User_100;1132;New credit;Car;5500.0;A_Pending
1801;Application_268676496;6;User_100;1132;New credit;Car;5500.0;A_Pending
1802;Application_268676496;10;User_113;1132;New credit;Car;5500.0;A_Pending
1803;Application_268676496;7;User_113;1132;New credit;Car;5500.0;A_Pending
2321;Application_1252717204;4;User_3;1135;New credit;Existing loan takeover;20600.0;A_Pending
2322;Application_1252717204;20;User_3;1135;New credit;Existing loan takeover;20600.0;A_Pending
2323;Application_1252717204;3;User_3;1135;New credit;Existing loan takeover;20600.0;A_Pending
2324;Application_1252717204;0;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2325;Application_1252717204;12;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2326;Application_1252717204;13;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2327;Application_1252717204;12;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2328;Application_1252717204;13;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2329;Application_1252717204;15;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2330;Application_1252717204;15;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2331;Application_1252717204;18;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2332;Application_1252717204;2;User_19;1135;New credit;Existing loan takeover;20600.0;A_Pending
2333;Application_1252717204;12;User_8;1135;New credit;Existing loan takeover;20600.0;A_Pending
2334;Application_1252717204;13;User_8;1135;New credit;Existing loan takeover;20600.0;A_Pending
2335;Application_1252717204;15;User_8;1135;New credit;Existing loan takeover;20600.0;A_Pending
2336;Application_1252717204;12;User_2;1135;New credit;Existing loan takeover;20600.0;A_Pending
2337;Application_1252717204;13;User_2;1135;New credit;Existing loan takeover;20600.0;A_Pending
2338;Application_1252717204;15;User_2;1135;New credit;Existing loan takeover;20600.0;A_Pending
2339;Application_1252717204;24;User_68;1135;New credit;Existing loan takeover;20600.0;A_Pending
2340;Application_1252717204;9;User_113;1135;New credit;Existing loan takeover;20600.0;A_Pending
2341;Application_1252717204;14;User_113;1135;New credit;Existing loan takeover;20600.0;A_Pending
2342;Application_1252717204;10;User_68;1135;New credit;Existing loan takeover;20600.0;A_Pending
2343;Application_1252717204;7;User_68;1135;New credit;Existing loan takeover;20600.0;A_Pending
2358;Application_1823402778;4;User_1;558;New credit;Not speficied;15000.0;A_Pending
2359;Application_1823402778;8;User_1;558;New credit;Not speficied;15000.0;A_Pending
2360;Application_1823402778;3;User_1;558;New credit;Not speficied;15000.0;A_Pending
2361;Application_1823402778;20;User_15;558;New credit;Not speficied;15000.0;A_Pending
2362;Application_1823402778;0;User_15;558;New credit;Not speficied;15000.0;A_Pending
2363;Application_1823402778;12;User_15;558;New credit;Not speficied;15000.0;A_Pending
2364;Application_1823402778;13;User_15;558;New credit;Not speficied;15000.0;A_Pending
2365;Application_1823402778;15;User_15;558;New credit;Not speficied;15000.0;A_Pending
2366;Application_1823402778;18;User_15;558;New credit;Not speficied;15000.0;A_Pending
2367;Application_1823402778;2;User_15;558;New credit;Not speficied;15000.0;A_Pending
2368;Application_1823402778;12;User_43;558;New credit;Not speficied;15000.0;A_Pending
2369;Application_1823402778;13;User_43;558;New credit;Not speficied;15000.0;A_Pending
2370;Application_1823402778;16;User_43;558;New credit;Not speficied;15000.0;A_Pending
2371;Application_1823402778;12;User_4;558;New credit;Not speficied;15000.0;A_Pending
2372;Application_1823402778;13;User_4;558;New credit;Not speficied;15000.0;A_Pending
2373;Application_1823402778;15;User_4;558;New credit;Not speficied;15000.0;A_Pending
2374;Application_1823402778;24;User_117;558;New credit;Not speficied;15000.0;A_Pending
2375;Application_1823402778;9;User_117;558;New credit;Not speficied;15000.0;A_Pending
2376;Application_1823402778;14;User_117;558;New credit;Not speficied;15000.0;A_Pending
2377;Application_1823402778;10;User_115;558;New credit;Not speficied;15000.0;A_Pending
2378;Application_1823402778;7;User_115;558;New credit;Not speficied;15000.0;A_Pending
4546;Application_722397148;4;User_1;576;New credit;Car;14500.0;A_Pending
4547;Application_722397148;8;User_1;576;New credit;Car;14500.0;A_Pending
4548;Application_722397148;3;User_1;576;New credit;Car;14500.0;A_Pending
4549;Application_722397148;20;User_15;576;New credit;Car;14500.0;A_Pending
4550;Application_722397148;0;User_15;576;New credit;Car;14500.0;A_Pending
4551;Application_722397148;12;User_15;576;New credit;Car;14500.0;A_Pending
4552;Application_722397148;13;User_15;576;New credit;Car;14500.0;A_Pending
4553;Application_722397148;12;User_15;576;New credit;Car;14500.0;A_Pending
4554;Application_722397148;13;User_15;576;New credit;Car;14500.0;A_Pending
4555;Application_722397148;12;User_15;576;New credit;Car;14500.0;A_Pending
4556;Application_722397148;13;User_15;576;New credit;Car;14500.0;A_Pending
4557;Application_722397148;12;User_15;576;New credit;Car;14500.0;A_Pending
4558;Application_722397148;13;User_15;576;New credit;Car;14500.0;A_Pending
4559;Application_722397148;15;User_15;576;New credit;Car;14500.0;A_Pending
4560;Application_722397148;15;User_15;576;New credit;Car;14500.0;A_Pending
4561;Application_722397148;15;User_15;576;New credit;Car;14500.0;A_Pending
4562;Application_722397148;15;User_15;576;New credit;Car;14500.0;A_Pending
4563;Application_722397148;18;User_15;576;New credit;Car;14500.0;A_Pending
4564;Application_722397148;2;User_15;576;New credit;Car;14500.0;A_Pending
4565;Application_722397148;24;User_68;576;New credit;Car;14500.0;A_Pending
4566;Application_722397148;9;User_112;576;New credit;Car;14500.0;A_Pending
4567;Application_722397148;14;User_112;576;New credit;Car;14500.0;A_Pending
4568;Application_722397148;19;User_68;576;New credit;Car;14500.0;A_Pending
4569;Application_722397148;6;User_68;576;New credit;Car;14500.0;A_Pending
4570;Application_722397148;24;User_24;576;New credit;Car;14500.0;A_Pending
4571;Application_722397148;9;User_24;576;New credit;Car;14500.0;A_Pending
4572;Application_722397148;10;User_117;576;New credit;Car;14500.0;A_Pending
4573;Application_722397148;7;User_117;576;New credit;Car;14500.0;A_Pending
5033;Application_2006366791;4;User_92;1061;New credit;Car;17700.0;A_Pending
5034;Application_2006366791;20;User_92;1061;New credit;Car;17700.0;A_Pending
5035;Application_2006366791;3;User_92;1061;New credit;Car;17700.0;A_Pending
5036;Application_2006366791;0;User_92;1061;New credit;Car;17700.0;A_Pending
5037;Application_2006366791;12;User_92;1061;New credit;Car;17700.0;A_Pending
5038;Application_2006366791;13;User_92;1061;New credit;Car;17700.0;A_Pending
5039;Application_2006366791;15;User_92;1061;New credit;Car;17700.0;A_Pending
5040;Application_2006366791;18;User_92;1061;New credit;Car;17700.0;A_Pending
5041;Application_2006366791;2;User_92;1061;New credit;Car;17700.0;A_Pending
5042;Application_2006366791;12;User_4;1061;New credit;Car;17700.0;A_Pending
5043;Application_2006366791;13;User_4;1061;New credit;Car;17700.0;A_Pending
5044;Application_2006366791;15;User_4;1061;New credit;Car;17700.0;A_Pending
5045;Application_2006366791;12;User_8;1061;New credit;Car;17700.0;A_Pending
5046;Application_2006366791;13;User_8;1061;New credit;Car;17700.0;A_Pending
5047;Application_2006366791;15;User_8;1061;New credit;Car;17700.0;A_Pending
5048;Application_2006366791;12;User_85;1061;New credit;Car;17700.0;A_Pending
5049;Application_2006366791;13;User_85;1061;New credit;Car;17700.0;A_Pending
5050;Application_2006366791;15;User_85;1061;New credit;Car;17700.0;A_Pending
5051;Application_2006366791;12;User_2;1061;New credit;Car;17700.0;A_Pending
5052;Application_2006366791;13;User_2;1061;New credit;Car;17700.0;A_Pending
5053;Application_2006366791;15;User_2;1061;New credit;Car;17700.0;A_Pending
5054;Application_2006366791;24;User_87;1061;New credit;Car;17700.0;A_Pending
5055;Application_2006366791;9;User_114;1061;New credit;Car;17700.0;A_Pending
5056;Application_2006366791;14;User_114;1061;New credit;Car;17700.0;A_Pending
5057;Application_2006366791;19;User_87;1061;New credit;Car;17700.0;A_Pending
5058;Application_2006366791;6;User_87;1061;New credit;Car;17700.0;A_Pending
5059;Application_2006366791;24;User_114;1061;New credit;Car;17700.0;A_Pending
5060;Application_2006366791;9;User_114;1061;New credit;Car;17700.0;A_Pending
5061;Application_2006366791;19;User_87;1061;New credit;Car;17700.0;A_Pending
5062;Application_2006366791;6;User_87;1061;New credit;Car;17700.0;A_Pending
5063;Application_2006366791;10;User_119;1061;New credit;Car;17700.0;A_Pending
5064;Application_2006366791;7;User_119;1061;New credit;Car;17700.0;A_Pending
6179;Application_1295329022;4;User_11;1154;New credit;Home improvement;12500.0;A_Pending
