i;Case ID;Activity;Resource;Variant index;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
2099;Application_1962860870;4;User_7;489;New credit;Other, see explanation;6000.0;A_Pending
2100;Application_1962860870;20;User_7;489;New credit;Other, see explanation;6000.0;A_Pending
2101;Application_1962860870;3;User_7;489;New credit;Other, see explanation;6000.0;A_Pending
2102;Application_1962860870;0;User_7;489;New credit;Other, see explanation;6000.0;A_Pending
2103;Application_1962860870;12;User_7;489;New credit;Other, see explanation;6000.0;A_Pending
2104;Application_1962860870;13;User_7;489;New credit;Other, see explanation;6000.0;A_Pending
2105;Application_1962860870;12;User_7;489;New credit;Other, see explanation;6000.0;A_Pending
2106;Application_1962860870;13;User_7;489;New credit;Other, see explanation;6000.0;A_Pending
2107;Application_1962860870;15;User_7;489;New credit;Other, see explanation;6000.0;A_Pending
2108;Application_1962860870;18;User_7;489;New credit;Other, see explanation;6000.0;A_Pending
2109;Application_1962860870;2;User_7;489;New credit;Other, see explanation;6000.0;A_Pending
2110;Application_1962860870;24;User_95;489;New credit;Other, see explanation;6000.0;A_Pending
2111;Application_1962860870;9;User_119;489;New credit;Other, see explanation;6000.0;A_Pending
2112;Application_1962860870;14;User_119;489;New credit;Other, see explanation;6000.0;A_Pending
2113;Application_1962860870;10;User_95;489;New credit;Other, see explanation;6000.0;A_Pending
2114;Application_1962860870;7;User_95;489;New credit;Other, see explanation;6000.0;A_Pending
4399;Application_1800870760;4;User_85;76;New credit;Existing loan takeover;45000.0;A_Pending
4400;Application_1800870760;20;User_85;76;New credit;Existing loan takeover;45000.0;A_Pending
4401;Application_1800870760;3;User_85;76;New credit;Existing loan takeover;45000.0;A_Pending
4402;Application_1800870760;0;User_85;76;New credit;Existing loan takeover;45000.0;A_Pending
4403;Application_1800870760;12;User_85;76;New credit;Existing loan takeover;45000.0;A_Pending
4404;Application_1800870760;13;User_85;76;New credit;Existing loan takeover;45000.0;A_Pending
4405;Application_1800870760;12;User_85;76;New credit;Existing loan takeover;45000.0;A_Pending
4406;Application_1800870760;13;User_85;76;New credit;Existing loan takeover;45000.0;A_Pending
4407;Application_1800870760;15;User_85;76;New credit;Existing loan takeover;45000.0;A_Pending
4408;Application_1800870760;15;User_85;76;New credit;Existing loan takeover;45000.0;A_Pending
4409;Application_1800870760;18;User_85;76;New credit;Existing loan takeover;45000.0;A_Pending
4410;Application_1800870760;2;User_85;76;New credit;Existing loan takeover;45000.0;A_Pending
4411;Application_1800870760;24;User_29;76;New credit;Existing loan takeover;45000.0;A_Pending
4412;Application_1800870760;9;User_119;76;New credit;Existing loan takeover;45000.0;A_Pending
4413;Application_1800870760;14;User_119;76;New credit;Existing loan takeover;45000.0;A_Pending
4414;Application_1800870760;19;User_29;76;New credit;Existing loan takeover;45000.0;A_Pending
4415;Application_1800870760;6;User_29;76;New credit;Existing loan takeover;45000.0;A_Pending
4416;Application_1800870760;10;User_109;76;New credit;Existing loan takeover;45000.0;A_Pending
4417;Application_1800870760;7;User_109;76;New credit;Existing loan takeover;45000.0;A_Pending
4546;Application_722397148;4;User_1;576;New credit;Car;14500.0;A_Pending
4547;Application_722397148;8;User_1;576;New credit;Car;14500.0;A_Pending
4548;Application_722397148;3;User_1;576;New credit;Car;14500.0;A_Pending
4549;Application_722397148;20;User_15;576;New credit;Car;14500.0;A_Pending
4550;Application_722397148;0;User_15;576;New credit;Car;14500.0;A_Pending
4551;Application_722397148;12;User_15;576;New credit;Car;14500.0;A_Pending
4552;Application_722397148;13;User_15;576;New credit;Car;14500.0;A_Pending
4553;Application_722397148;12;User_15;576;New credit;Car;14500.0;A_Pending
4554;Application_722397148;13;User_15;576;New credit;Car;14500.0;A_Pending
4555;Application_722397148;12;User_15;576;New credit;Car;14500.0;A_Pending
4556;Application_722397148;13;User_15;576;New credit;Car;14500.0;A_Pending
4557;Application_722397148;12;User_15;576;New credit;Car;14500.0;A_Pending
4558;Application_722397148;13;User_15;576;New credit;Car;14500.0;A_Pending
4559;Application_722397148;15;User_15;576;New credit;Car;14500.0;A_Pending
4560;Application_722397148;15;User_15;576;New credit;Car;14500.0;A_Pending
4561;Application_722397148;15;User_15;576;New credit;Car;14500.0;A_Pending
4562;Application_722397148;15;User_15;576;New credit;Car;14500.0;A_Pending
4563;Application_722397148;18;User_15;576;New credit;Car;14500.0;A_Pending
4564;Application_722397148;2;User_15;576;New credit;Car;14500.0;A_Pending
4565;Application_722397148;24;User_68;576;New credit;Car;14500.0;A_Pending
4566;Application_722397148;9;User_112;576;New credit;Car;14500.0;A_Pending
4567;Application_722397148;14;User_112;576;New credit;Car;14500.0;A_Pending
4568;Application_722397148;19;User_68;576;New credit;Car;14500.0;A_Pending
4569;Application_722397148;6;User_68;576;New credit;Car;14500.0;A_Pending
4570;Application_722397148;24;User_24;576;New credit;Car;14500.0;A_Pending
4571;Application_722397148;9;User_24;576;New credit;Car;14500.0;A_Pending
4572;Application_722397148;10;User_117;576;New credit;Car;14500.0;A_Pending
4573;Application_722397148;7;User_117;576;New credit;Car;14500.0;A_Pending
6179;Application_1295329022;4;User_11;1154;New credit;Home improvement;12500.0;A_Pending
6180;Application_1295329022;20;User_11;1154;New credit;Home improvement;12500.0;A_Pending
6181;Application_1295329022;3;User_11;1154;New credit;Home improvement;12500.0;A_Pending
6182;Application_1295329022;0;User_11;1154;New credit;Home improvement;12500.0;A_Pending
6183;Application_1295329022;12;User_11;1154;New credit;Home improvement;12500.0;A_Pending
6184;Application_1295329022;13;User_11;1154;New credit;Home improvement;12500.0;A_Pending
6185;Application_1295329022;15;User_11;1154;New credit;Home improvement;12500.0;A_Pending
6186;Application_1295329022;18;User_11;1154;New credit;Home improvement;12500.0;A_Pending
6187;Application_1295329022;2;User_11;1154;New credit;Home improvement;12500.0;A_Pending
6188;Application_1295329022;12;User_10;1154;New credit;Home improvement;12500.0;A_Pending
6189;Application_1295329022;13;User_10;1154;New credit;Home improvement;12500.0;A_Pending
6190;Application_1295329022;15;User_10;1154;New credit;Home improvement;12500.0;A_Pending
6191;Application_1295329022;12;User_8;1154;New credit;Home improvement;12500.0;A_Pending
6192;Application_1295329022;13;User_8;1154;New credit;Home improvement;12500.0;A_Pending
6193;Application_1295329022;12;User_8;1154;New credit;Home improvement;12500.0;A_Pending
6194;Application_1295329022;13;User_8;1154;New credit;Home improvement;12500.0;A_Pending
6195;Application_1295329022;15;User_8;1154;New credit;Home improvement;12500.0;A_Pending
6196;Application_1295329022;15;User_8;1154;New credit;Home improvement;12500.0;A_Pending
6197;Application_1295329022;12;User_85;1154;New credit;Home improvement;12500.0;A_Pending
6198;Application_1295329022;13;User_85;1154;New credit;Home improvement;12500.0;A_Pending
6199;Application_1295329022;12;User_85;1154;New credit;Home improvement;12500.0;A_Pending
6200;Application_1295329022;13;User_85;1154;New credit;Home improvement;12500.0;A_Pending
6201;Application_1295329022;15;User_85;1154;New credit;Home improvement;12500.0;A_Pending
6202;Application_1295329022;15;User_85;1154;New credit;Home improvement;12500.0;A_Pending
6203;Application_1295329022;12;User_2;1154;New credit;Home improvement;12500.0;A_Pending
6204;Application_1295329022;13;User_2;1154;New credit;Home improvement;12500.0;A_Pending
6205;Application_1295329022;12;User_2;1154;New credit;Home improvement;12500.0;A_Pending
6206;Application_1295329022;13;User_2;1154;New credit;Home improvement;12500.0;A_Pending
6207;Application_1295329022;15;User_2;1154;New credit;Home improvement;12500.0;A_Pending
6208;Application_1295329022;15;User_2;1154;New credit;Home improvement;12500.0;A_Pending
6209;Application_1295329022;24;User_119;1154;New credit;Home improvement;12500.0;A_Pending
6210;Application_1295329022;9;User_119;1154;New credit;Home improvement;12500.0;A_Pending
6211;Application_1295329022;14;User_119;1154;New credit;Home improvement;12500.0;A_Pending
6212;Application_1295329022;19;User_102;1154;New credit;Home improvement;12500.0;A_Pending
6213;Application_1295329022;6;User_102;1154;New credit;Home improvement;12500.0;A_Pending
6214;Application_1295329022;24;User_25;1154;New credit;Home improvement;12500.0;A_Pending
6215;Application_1295329022;9;User_25;1154;New credit;Home improvement;12500.0;A_Pending
6216;Application_1295329022;10;User_118;1154;New credit;Home improvement;12500.0;A_Pending
6217;Application_1295329022;7;User_118;1154;New credit;Home improvement;12500.0;A_Pending
10511;Application_92091920;4;User_4;161;New credit;Home improvement;0.0;A_Pending
10512;Application_92091920;20;User_4;161;New credit;Home improvement;0.0;A_Pending
10513;Application_92091920;3;User_4;161;New credit;Home improvement;0.0;A_Pending
10514;Application_92091920;0;User_4;161;New credit;Home improvement;0.0;A_Pending
10515;Application_92091920;12;User_4;161;New credit;Home improvement;0.0;A_Pending
10516;Application_92091920;13;User_4;161;New credit;Home improvement;0.0;A_Pending
10517;Application_92091920;11;User_4;161;New credit;Home improvement;0.0;A_Pending
10518;Application_92091920;12;User_4;161;New credit;Home improvement;0.0;A_Pending
10519;Application_92091920;13;User_4;161;New credit;Home improvement;0.0;A_Pending
10520;Application_92091920;15;User_4;161;New credit;Home improvement;0.0;A_Pending
10521;Application_92091920;18;User_4;161;New credit;Home improvement;0.0;A_Pending
10522;Application_92091920;2;User_4;161;New credit;Home improvement;0.0;A_Pending
10523;Application_92091920;24;User_118;161;New credit;Home improvement;0.0;A_Pending
10524;Application_92091920;9;User_118;161;New credit;Home improvement;0.0;A_Pending
10525;Application_92091920;14;User_118;161;New credit;Home improvement;0.0;A_Pending
10526;Application_92091920;19;User_87;161;New credit;Home improvement;0.0;A_Pending
10527;Application_92091920;6;User_87;161;New credit;Home improvement;0.0;A_Pending
10528;Application_92091920;24;User_116;161;New credit;Home improvement;0.0;A_Pending
