index;Case ID;Activity;Resource;Variant index;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
213;Application_42838382;4;User_1;60;New credit;Existing loan takeover;29500.0;A_Cancelled
214;Application_42838382;8;User_1;60;New credit;Existing loan takeover;29500.0;A_Cancelled
215;Application_42838382;3;User_1;60;New credit;Existing loan takeover;29500.0;A_Cancelled
216;Application_42838382;20;User_3;60;New credit;Existing loan takeover;29500.0;A_Cancelled
217;Application_42838382;0;User_3;60;New credit;Existing loan takeover;29500.0;A_Cancelled
218;Application_42838382;12;User_3;60;New credit;Existing loan takeover;29500.0;A_Cancelled
219;Application_42838382;13;User_3;60;New credit;Existing loan takeover;29500.0;A_Cancelled
220;Application_42838382;12;User_3;60;New credit;Existing loan takeover;29500.0;A_Cancelled
221;Application_42838382;13;User_3;60;New credit;Existing loan takeover;29500.0;A_Cancelled
222;Application_42838382;15;User_3;60;New credit;Existing loan takeover;29500.0;A_Cancelled
223;Application_42838382;15;User_3;60;New credit;Existing loan takeover;29500.0;A_Cancelled
224;Application_42838382;18;User_3;60;New credit;Existing loan takeover;29500.0;A_Cancelled
225;Application_42838382;2;User_3;60;New credit;Existing loan takeover;29500.0;A_Cancelled
226;Application_42838382;12;User_8;60;New credit;Existing loan takeover;29500.0;A_Cancelled
227;Application_42838382;13;User_8;60;New credit;Existing loan takeover;29500.0;A_Cancelled
228;Application_42838382;15;User_8;60;New credit;Existing loan takeover;29500.0;A_Cancelled
229;Application_42838382;1;User_1;60;New credit;Existing loan takeover;29500.0;A_Cancelled
469;Application_931862671;4;User_1;60;New credit;Car;6000.0;A_Cancelled
470;Application_931862671;8;User_1;60;New credit;Car;6000.0;A_Cancelled
471;Application_931862671;3;User_1;60;New credit;Car;6000.0;A_Cancelled
472;Application_931862671;20;User_28;60;New credit;Car;6000.0;A_Cancelled
473;Application_931862671;0;User_28;60;New credit;Car;6000.0;A_Cancelled
474;Application_931862671;12;User_28;60;New credit;Car;6000.0;A_Cancelled
475;Application_931862671;13;User_28;60;New credit;Car;6000.0;A_Cancelled
476;Application_931862671;12;User_28;60;New credit;Car;6000.0;A_Cancelled
477;Application_931862671;13;User_28;60;New credit;Car;6000.0;A_Cancelled
478;Application_931862671;15;User_28;60;New credit;Car;6000.0;A_Cancelled
479;Application_931862671;15;User_28;60;New credit;Car;6000.0;A_Cancelled
480;Application_931862671;18;User_28;60;New credit;Car;6000.0;A_Cancelled
481;Application_931862671;2;User_28;60;New credit;Car;6000.0;A_Cancelled
482;Application_931862671;12;User_8;60;New credit;Car;6000.0;A_Cancelled
483;Application_931862671;13;User_8;60;New credit;Car;6000.0;A_Cancelled
484;Application_931862671;15;User_8;60;New credit;Car;6000.0;A_Cancelled
485;Application_931862671;1;User_20;60;New credit;Car;6000.0;A_Cancelled
1106;Application_1825104006;4;User_1;798;New credit;Car;15000.0;A_Cancelled
1107;Application_1825104006;8;User_1;798;New credit;Car;15000.0;A_Cancelled
1108;Application_1825104006;3;User_1;798;New credit;Car;15000.0;A_Cancelled
1109;Application_1825104006;20;User_16;798;New credit;Car;15000.0;A_Cancelled
1110;Application_1825104006;0;User_31;798;New credit;Car;15000.0;A_Cancelled
1111;Application_1825104006;12;User_31;798;New credit;Car;15000.0;A_Cancelled
1112;Application_1825104006;13;User_31;798;New credit;Car;15000.0;A_Cancelled
1113;Application_1825104006;12;User_31;798;New credit;Car;15000.0;A_Cancelled
1114;Application_1825104006;13;User_31;798;New credit;Car;15000.0;A_Cancelled
1115;Application_1825104006;15;User_31;798;New credit;Car;15000.0;A_Cancelled
1116;Application_1825104006;15;User_31;798;New credit;Car;15000.0;A_Cancelled
1117;Application_1825104006;18;User_31;798;New credit;Car;15000.0;A_Cancelled
1118;Application_1825104006;2;User_31;798;New credit;Car;15000.0;A_Cancelled
1119;Application_1825104006;12;User_4;798;New credit;Car;15000.0;A_Cancelled
1120;Application_1825104006;13;User_4;798;New credit;Car;15000.0;A_Cancelled
1121;Application_1825104006;12;User_4;798;New credit;Car;15000.0;A_Cancelled
1122;Application_1825104006;13;User_4;798;New credit;Car;15000.0;A_Cancelled
1123;Application_1825104006;15;User_4;798;New credit;Car;15000.0;A_Cancelled
1124;Application_1825104006;15;User_4;798;New credit;Car;15000.0;A_Cancelled
1125;Application_1825104006;12;User_8;798;New credit;Car;15000.0;A_Cancelled
1126;Application_1825104006;13;User_8;798;New credit;Car;15000.0;A_Cancelled
1127;Application_1825104006;15;User_8;798;New credit;Car;15000.0;A_Cancelled
1128;Application_1825104006;1;User_1;798;New credit;Car;15000.0;A_Cancelled
1280;Application_1588619628;4;User_1;214;New credit;Home improvement;24000.0;A_Cancelled
1281;Application_1588619628;8;User_1;214;New credit;Home improvement;24000.0;A_Cancelled
1282;Application_1588619628;21;User_14;214;New credit;Home improvement;24000.0;A_Cancelled
1283;Application_1588619628;20;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1284;Application_1588619628;3;User_14;214;New credit;Home improvement;24000.0;A_Cancelled
1285;Application_1588619628;0;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1286;Application_1588619628;12;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1287;Application_1588619628;13;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1288;Application_1588619628;12;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1289;Application_1588619628;13;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1290;Application_1588619628;15;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1291;Application_1588619628;15;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1292;Application_1588619628;18;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1293;Application_1588619628;2;User_15;214;New credit;Home improvement;24000.0;A_Cancelled
1294;Application_1588619628;12;User_8;214;New credit;Home improvement;24000.0;A_Cancelled
1295;Application_1588619628;13;User_8;214;New credit;Home improvement;24000.0;A_Cancelled
1296;Application_1588619628;15;User_8;214;New credit;Home improvement;24000.0;A_Cancelled
1297;Application_1588619628;1;User_1;214;New credit;Home improvement;24000.0;A_Cancelled
3748;Application_1151254747;4;User_1;214;New credit;Other, see explanation;5000.0;A_Cancelled
3749;Application_1151254747;8;User_1;214;New credit;Other, see explanation;5000.0;A_Cancelled
3750;Application_1151254747;21;User_5;214;New credit;Other, see explanation;5000.0;A_Cancelled
3751;Application_1151254747;20;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3752;Application_1151254747;3;User_5;214;New credit;Other, see explanation;5000.0;A_Cancelled
3753;Application_1151254747;0;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3754;Application_1151254747;12;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3755;Application_1151254747;13;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3756;Application_1151254747;12;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3757;Application_1151254747;13;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3758;Application_1151254747;15;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3759;Application_1151254747;15;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3760;Application_1151254747;18;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3761;Application_1151254747;2;User_15;214;New credit;Other, see explanation;5000.0;A_Cancelled
3762;Application_1151254747;12;User_8;214;New credit;Other, see explanation;5000.0;A_Cancelled
3763;Application_1151254747;13;User_8;214;New credit;Other, see explanation;5000.0;A_Cancelled
3764;Application_1151254747;15;User_8;214;New credit;Other, see explanation;5000.0;A_Cancelled
3765;Application_1151254747;1;User_1;214;New credit;Other, see explanation;5000.0;A_Cancelled
4072;Application_1933550065;4;User_1;799;New credit;Remaining debt home;13500.0;A_Cancelled
4073;Application_1933550065;8;User_1;799;New credit;Remaining debt home;13500.0;A_Cancelled
4074;Application_1933550065;3;User_1;799;New credit;Remaining debt home;13500.0;A_Cancelled
4075;Application_1933550065;20;User_21;799;New credit;Remaining debt home;13500.0;A_Cancelled
4076;Application_1933550065;0;User_21;799;New credit;Remaining debt home;13500.0;A_Cancelled
4077;Application_1933550065;12;User_21;799;New credit;Remaining debt home;13500.0;A_Cancelled
4078;Application_1933550065;13;User_21;799;New credit;Remaining debt home;13500.0;A_Cancelled
4079;Application_1933550065;12;User_21;799;New credit;Remaining debt home;13500.0;A_Cancelled
4080;Application_1933550065;13;User_21;799;New credit;Remaining debt home;13500.0;A_Cancelled
4081;Application_1933550065;15;User_21;799;New credit;Remaining debt home;13500.0;A_Cancelled
4082;Application_1933550065;15;User_21;799;New credit;Remaining debt home;13500.0;A_Cancelled
4083;Application_1933550065;18;User_21;799;New credit;Remaining debt home;13500.0;A_Cancelled
4084;Application_1933550065;2;User_21;799;New credit;Remaining debt home;13500.0;A_Cancelled
4085;Application_1933550065;12;User_8;799;New credit;Remaining debt home;13500.0;A_Cancelled
4086;Application_1933550065;13;User_8;799;New credit;Remaining debt home;13500.0;A_Cancelled
4087;Application_1933550065;12;User_8;799;New credit;Remaining debt home;13500.0;A_Cancelled
4088;Application_1933550065;13;User_8;799;New credit;Remaining debt home;13500.0;A_Cancelled
4089;Application_1933550065;15;User_8;799;New credit;Remaining debt home;13500.0;A_Cancelled
4090;Application_1933550065;15;User_8;799;New credit;Remaining debt home;13500.0;A_Cancelled
4091;Application_1933550065;12;User_85;799;New credit;Remaining debt home;13500.0;A_Cancelled
4092;Application_1933550065;13;User_85;799;New credit;Remaining debt home;13500.0;A_Cancelled
4093;Application_1933550065;12;User_85;799;New credit;Remaining debt home;13500.0;A_Cancelled
4094;Application_1933550065;13;User_85;799;New credit;Remaining debt home;13500.0;A_Cancelled
4095;Application_1933550065;15;User_85;799;New credit;Remaining debt home;13500.0;A_Cancelled
4096;Application_1933550065;15;User_85;799;New credit;Remaining debt home;13500.0;A_Cancelled
4097;Application_1933550065;12;User_8;799;New credit;Remaining debt home;13500.0;A_Cancelled
4098;Application_1933550065;13;User_8;799;New credit;Remaining debt home;13500.0;A_Cancelled
4099;Application_1933550065;12;User_8;799;New credit;Remaining debt home;13500.0;A_Cancelled
4100;Application_1933550065;13;User_8;799;New credit;Remaining debt home;13500.0;A_Cancelled
4101;Application_1933550065;15;User_8;799;New credit;Remaining debt home;13500.0;A_Cancelled
4102;Application_1933550065;15;User_8;799;New credit;Remaining debt home;13500.0;A_Cancelled
4103;Application_1933550065;1;User_1;799;New credit;Remaining debt home;13500.0;A_Cancelled
4574;Application_1645236489;4;User_37;1147;New credit;Remaining debt home;23000.0;A_Cancelled
4575;Application_1645236489;20;User_37;1147;New credit;Remaining debt home;23000.0;A_Cancelled
4576;Application_1645236489;3;User_37;1147;New credit;Remaining debt home;23000.0;A_Cancelled
4577;Application_1645236489;0;User_37;1147;New credit;Remaining debt home;23000.0;A_Cancelled
4578;Application_1645236489;12;User_37;1147;New credit;Remaining debt home;23000.0;A_Cancelled
