;Case ID;Activity;Resource;Variant index;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
4833;Application_1274070913;4;User_3;33;New credit;Other, see explanation;5000.0;A_Cancelled
4834;Application_1274070913;20;User_3;33;New credit;Other, see explanation;5000.0;A_Cancelled
4835;Application_1274070913;3;User_3;33;New credit;Other, see explanation;5000.0;A_Cancelled
4836;Application_1274070913;0;User_3;33;New credit;Other, see explanation;5000.0;A_Cancelled
4837;Application_1274070913;12;User_3;33;New credit;Other, see explanation;5000.0;A_Cancelled
4838;Application_1274070913;13;User_3;33;New credit;Other, see explanation;5000.0;A_Cancelled
4839;Application_1274070913;12;User_3;33;New credit;Other, see explanation;5000.0;A_Cancelled
4840;Application_1274070913;13;User_3;33;New credit;Other, see explanation;5000.0;A_Cancelled
4841;Application_1274070913;15;User_3;33;New credit;Other, see explanation;5000.0;A_Cancelled
4842;Application_1274070913;15;User_3;33;New credit;Other, see explanation;5000.0;A_Cancelled
4843;Application_1274070913;18;User_3;33;New credit;Other, see explanation;5000.0;A_Cancelled
4844;Application_1274070913;2;User_3;33;New credit;Other, see explanation;5000.0;A_Cancelled
4845;Application_1274070913;1;User_1;33;New credit;Other, see explanation;5000.0;A_Cancelled
12206;Application_1974173610;4;User_1;41;New credit;Existing loan takeover;10000.0;A_Cancelled
12207;Application_1974173610;8;User_1;41;New credit;Existing loan takeover;10000.0;A_Cancelled
12208;Application_1974173610;21;User_31;41;New credit;Existing loan takeover;10000.0;A_Cancelled
12209;Application_1974173610;20;User_71;41;New credit;Existing loan takeover;10000.0;A_Cancelled
12210;Application_1974173610;3;User_31;41;New credit;Existing loan takeover;10000.0;A_Cancelled
12211;Application_1974173610;0;User_71;41;New credit;Existing loan takeover;10000.0;A_Cancelled
12212;Application_1974173610;12;User_71;41;New credit;Existing loan takeover;10000.0;A_Cancelled
12213;Application_1974173610;13;User_71;41;New credit;Existing loan takeover;10000.0;A_Cancelled
12214;Application_1974173610;12;User_71;41;New credit;Existing loan takeover;10000.0;A_Cancelled
12215;Application_1974173610;13;User_71;41;New credit;Existing loan takeover;10000.0;A_Cancelled
