;Case ID;Activity;Resource;Variant index;(case) ApplicationType;(case) LoanGoal;(case) RequestedAmount;lbl
96;Application_1085880569;4;User_1;19;New credit;Existing loan takeover;13000.0;A_Cancelled
97;Application_1085880569;8;User_1;19;New credit;Existing loan takeover;13000.0;A_Cancelled
98;Application_1085880569;3;User_1;19;New credit;Existing loan takeover;13000.0;A_Cancelled
99;Application_1085880569;21;User_17;19;New credit;Existing loan takeover;13000.0;A_Cancelled
100;Application_1085880569;0;User_17;19;New credit;Existing loan takeover;13000.0;A_Cancelled
101;Application_1085880569;12;User_17;19;New credit;Existing loan takeover;13000.0;A_Cancelled
102;Application_1085880569;13;User_17;19;New credit;Existing loan takeover;13000.0;A_Cancelled
103;Application_1085880569;16;User_17;19;New credit;Existing loan takeover;13000.0;A_Cancelled
104;Application_1085880569;19;User_17;19;New credit;Existing loan takeover;13000.0;A_Cancelled
105;Application_1085880569;2;User_17;19;New credit;Existing loan takeover;13000.0;A_Cancelled
106;Application_1085880569;12;User_8;19;New credit;Existing loan takeover;13000.0;A_Cancelled
107;Application_1085880569;13;User_8;19;New credit;Existing loan takeover;13000.0;A_Cancelled
108;Application_1085880569;16;User_8;19;New credit;Existing loan takeover;13000.0;A_Cancelled
109;Application_1085880569;1;User_1;19;New credit;Existing loan takeover;13000.0;A_Cancelled
110;Application_1085880569;11;User_1;19;New credit;Existing loan takeover;13000.0;A_Cancelled
111;Application_1085880569;11;User_1;19;New credit;Existing loan takeover;13000.0;A_Cancelled
427;Application_196483749;4;User_17;1124;New credit;Car;10000.0;A_Cancelled
428;Application_196483749;21;User_17;1124;New credit;Car;10000.0;A_Cancelled
429;Application_196483749;3;User_17;1124;New credit;Car;10000.0;A_Cancelled
430;Application_196483749;0;User_17;1124;New credit;Car;10000.0;A_Cancelled
431;Application_196483749;12;User_17;1124;New credit;Car;10000.0;A_Cancelled
432;Application_196483749;13;User_17;1124;New credit;Car;10000.0;A_Cancelled
433;Application_196483749;17;User_17;1124;New credit;Car;10000.0;A_Cancelled
434;Application_196483749;19;User_17;1124;New credit;Car;10000.0;A_Cancelled
435;Application_196483749;2;User_17;1124;New credit;Car;10000.0;A_Cancelled
436;Application_196483749;11;User_17;1124;New credit;Car;10000.0;A_Cancelled
437;Application_196483749;12;User_17;1124;New credit;Car;10000.0;A_Cancelled
438;Application_196483749;13;User_17;1124;New credit;Car;10000.0;A_Cancelled
439;Application_196483749;16;User_17;1124;New credit;Car;10000.0;A_Cancelled
440;Application_196483749;12;User_17;1124;New credit;Car;10000.0;A_Cancelled
441;Application_196483749;13;User_17;1124;New credit;Car;10000.0;A_Cancelled
442;Application_196483749;16;User_17;1124;New credit;Car;10000.0;A_Cancelled
443;Application_196483749;12;User_8;1124;New credit;Car;10000.0;A_Cancelled
444;Application_196483749;13;User_8;1124;New credit;Car;10000.0;A_Cancelled
445;Application_196483749;16;User_8;1124;New credit;Car;10000.0;A_Cancelled
446;Application_196483749;1;User_1;1124;New credit;Car;10000.0;A_Cancelled
447;Application_196483749;11;User_1;1124;New credit;Car;10000.0;A_Cancelled
448;Application_196483749;11;User_1;1124;New credit;Car;10000.0;A_Cancelled
449;Application_196483749;11;User_1;1124;New credit;Car;10000.0;A_Cancelled
613;Application_2015287405;4;User_1;19;New credit;Car;15000.0;A_Cancelled
614;Application_2015287405;8;User_1;19;New credit;Car;15000.0;A_Cancelled
615;Application_2015287405;3;User_1;19;New credit;Car;15000.0;A_Cancelled
616;Application_2015287405;21;User_13;19;New credit;Car;15000.0;A_Cancelled
617;Application_2015287405;0;User_28;19;New credit;Car;15000.0;A_Cancelled
618;Application_2015287405;12;User_28;19;New credit;Car;15000.0;A_Cancelled
619;Application_2015287405;13;User_28;19;New credit;Car;15000.0;A_Cancelled
620;Application_2015287405;16;User_28;19;New credit;Car;15000.0;A_Cancelled
621;Application_2015287405;19;User_28;19;New credit;Car;15000.0;A_Cancelled
622;Application_2015287405;2;User_28;19;New credit;Car;15000.0;A_Cancelled
623;Application_2015287405;12;User_8;19;New credit;Car;15000.0;A_Cancelled
624;Application_2015287405;13;User_8;19;New credit;Car;15000.0;A_Cancelled
625;Application_2015287405;16;User_8;19;New credit;Car;15000.0;A_Cancelled
626;Application_2015287405;1;User_1;19;New credit;Car;15000.0;A_Cancelled
